CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
TOTAL	Total	Total	Insgesamt				
CAP	Capital expenditure	Dépenses en capital	Kapitalbezogene Ausgaben				
CAP_OTH	Other capital expenditure	Autres dépenses en capital	Sonstige Kapitalbezogene Ausgaben				
CUR	Current expenditure	Dépenses courantes	Laufende Ausgaben				
F2R_F4R	Funds received	Fonds reçus	Erhaltene Mittel				
F2R_F4R_AP	Funds received, of which advance payments	Fonds reçus, dont paiements anticipés	Erhaltene Mittel, davon Anzahlungen				
B1GQ	Gross domestic product at market prices	Produit intérieur brut aux prix du marché	Bruttoinlandsprodukt zu Marktpreisen				
B1G	Value added, gross	Valeur ajoutée, brute	Bruttowertschöpfung				
P1	Output	Production	Produktionswert				
P2	Intermediate consumption	Consommation intermédiaire	Vorleistungen				
P3	Final consumption expenditure	Dépense de consommation finale	Konsumausgaben				
P31	Individual consumption expenditure	Dépense de consommation individuelle	Konsumausgaben für den Individualverbrauch				
P32	Collective consumption expenditure	Dépense de consommation collective	Konsumausgaben für den Kollektivverbrauch				
P4	Actual final consumption	Consommation finale effective	Konsum nach dem Verbrauchskonzept				
P3_S13	Final consumption expenditure of general government	Dépense de consommation finale des administrations publiques	Konsumausgaben des Staates				
P31_S13	Individual consumption expenditure of general government	Dépense de consommation finale des administrations publiques, individuelle	Konsumausgaben des Staates, für den Individualverbrauch				
P32_S13	Collective consumption expenditure of general government	Dépense de consommation finale des administrations publiques, collective	Konsum ausgaben des Staates für den Kollektivverbrauch				
P31_S14_S15	Household and NPISH final consumption expenditure	Dépense de consommation finale des ménages et des ISBLSM	Konsumausgaben der privaten Haushalte und POoE				
P31_S14	Final consumption expenditure of households	Dépense de consommation finale des ménages	Konsumausgaben der privaten Haushalte				
P31_S15	Final consumption expenditure of NPISH	Dépense de consommation finale des ISBLSM	Konsumausgaben der POoE				
P41	Actual individual consumption	Consommation individuelle effective	Individualkonsum (Verbrauchskonzept)				
P5G	Gross capital formation	Formation brute de capital	Bruttoinvestitionen				
P5	Gross capital formation	Formation brute de capital	Bruttoinvestitionen				
P51G	Gross fixed capital formation	Formation brute de capital fixe	Bruttoanlageinvestitionen				
P52_P53	Changes in inventories and acquisitions less disposals of valuables	Variation des stocks et acquisitions moins cessions d'objets de valeur	Vorratsveränderungen und Nettozugang an Wertsachen				
P52	Changes in inventories	Variation des stocks	Vorratsveränderungen				
P53	Acquisitions less disposals of valuables	Acquisitions moins cessions d'objets de valeur	Nettozugang an Wertsachen				
P6	Exports of goods and services	Exportations de biens et de services	Exporte				
P61	Exports of goods	Exportations de biens	Warenexporte				
P62	Exports of services	Exportations de services	Dienstleistungsexporte				
P7	Imports of goods and services	Importations de biens et de services	Importe				
P71	Imports of goods	Importations de biens	Warenimporte				
P72	Imports of services	Importations de services	Dienstleistungsimporte				
P6X7	Exports less imports of goods and services	Exportations moins importations de biens et services	Exporte abzüglich Importe von Waren und Dienstleistungen				
P61X71	Exports less imports of goods	Exportations moins importations de biens	Exporte abzüglich Importe von Waren				
P62X72	Exports less imports of services	Exportations moins importations de services	Exporte abzüglich Importe von Dienstleistungen				
B11	External balance of goods and services	Solde des échanges extérieurs de biens et services	Aussenbeitrag				
B111	External balance - goods	Solde des échanges extérieurs - biens	Aussenbeitrag - Güter				
B112	External balance - services	Solde des échanges extérieurs - services	Aussenbeitrag - Dienstleistungen				
D1	Compensation of employees	Rémunération des salariés	Arbeitnehmerentgelt				
D11	Wages and salaries	Salaires et traitements bruts	Bruttolöhne und -gehälter				
D12	Employers' social contributions	Cotisations sociales à la charge des employeurs	Sozialbeiträge der Arbeitgeber				
D1_D61NET	Compensation of employees and net social contributions (RECV-PAID)	Rémunération des salariés et cotisations sociales nettes (RECV-PAID)	Arbeitnehmerentgelt und Nettosozialbeiträge (RECV-PAID)				
B2A3G	Operating surplus and mixed income, gross	Excédent d'exploitation et revenu mixte, brut	Bruttobetriebsüberschuss und Bruttoselbständigeneinkommen				
D2X3	Taxes on production and imports less subsidies	Impôts moins subventions sur les produits	Produktions- und Importabgaben abzgl. Subventionen				
D2	Taxes on production and imports	Impôts sur la production et les importations	Produktions- und Importabgaben				
TRF_CUR_D9_EPS	Current and capital transfers (including services), of which EP services	Transferts courants et transferts en capital (subventions comprises), dont services de protection de l’environnement	Laufende Tansfers und Vermögenstransfers (einschliesslich Subventionen), davon Umweltschutzleistungen				
TRF_CUR_D9	Current and capital transfers (including subsidies)	Transferts courants et transferts en capital (subventions comprises)	Laufende Transfers und Vermögenstransfers (einschliesslich Subventionen)				
TRF_CUR	Current transfers (including subsidies)	Transferts courants (subventions comprises)	Laufende Transfers (einschliesslich Subventionen)				
D3	Subsidies	Subventions	Subventionen				
TRF_CUR_XD3	Current transfers (excluding subsidies)	Transferts courants (hors subventions)	Laufende Transfers (ohne Subventionen)				
D21X31	Taxes less subsidies on products	Impôts moins les subventions sur les produits	Gütersteuern abzüglich Subventionen				
D21	Taxes on products	Impôts sur les produits	Gütersteuern				
D31	Subsidies on products	Subventions sur les produits	Gütersubventionen				
P2_D29_D5_D8	Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements	Consommation intermédiaire; autres impôts sur la production; impôts courants sur le revenu et le patrimoine; ajustement pour variation des droits à pension	Vorleistungen; Sonstige Produktionsabgaben; Einkommen- und Vermögensteuern; zunahme betrieblicher Versorgungsansprüche				
D29_D5_D8	Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements	Autres impôts sur la production; impôts courants sur le revenu et le patrimoine; ajustement pour variation des droits à pension	Sonstige Produktionsabgaben; Einkommen- und Vermögensteuern; zunahme betrieblicher Versorgungsansprüche				
D4	Property income	Revenus de la propriété	Vermögenseinkommen				
D4_S1311	Property income, of which payable to subsector S1311	Revenus de la propriété, dont à payer au sous-secteur S1311	Vermögenseinkommen, davon zu leistende an den Teilsektor S1311				
D4_S1312	Property income, of which payable to subsector S1312	Revenus de la propriété, dont à payer au sous-secteur S1312	Vermögenseinkommen, davon zu leistende an den Teilsektor S1312				
